date, pm25
29/12/2021,69
30/12/2021,69
31/12/2021,70
1/1/2022,89
2/1/2022,78
1/7/2021,51
2/7/2021,48
3/7/2021,50
4/7/2021,52
5/7/2021,52
6/7/2021,50
7/7/2021,46
8/7/2021,53
9/7/2021,48
10/7/2021,47
11/7/2021,42
12/7/2021,44
13/7/2021,43
14/7/2021,41
15/7/2021,52
16/7/2021,51
17/7/2021,50
18/7/2021,47
19/7/2021,48
20/7/2021,49
21/7/2021,46
22/7/2021,46
23/7/2021,50
24/7/2021,55
25/7/2021,63
26/7/2021,60
27/7/2021,59
28/7/2021,59
29/7/2021,64
30/7/2021,65
31/7/2021,61
1/8/2021,62
2/8/2021,66
3/8/2021,61
4/8/2021,58
5/8/2021,53
6/8/2021,55
7/8/2021,61
8/8/2021,61
9/8/2021,64
10/8/2021,74
11/8/2021,65
12/8/2021,63
13/8/2021,56
14/8/2021,49
15/8/2021,48
16/8/2021,45
17/8/2021,51
18/8/2021,57
19/8/2021,54
20/8/2021,51
21/8/2021,55
22/8/2021,51
23/8/2021,55
24/8/2021,53
25/8/2021,44
26/8/2021,51
27/8/2021,44
28/8/2021,50
29/8/2021,45
30/8/2021,50
31/8/2021,54
1/9/2021,60
2/9/2021,62
3/9/2021,62
4/9/2021,45
5/9/2021,39
6/9/2021,47
7/9/2021,45
8/9/2021,53
9/9/2021,53
10/9/2021,43
11/9/2021,46
12/9/2021,46
13/9/2021,52
14/9/2021,61
15/9/2021,55
16/9/2021,46
17/9/2021,45
18/9/2021,48
19/9/2021,54
20/9/2021,51
21/9/2021,53
22/9/2021,44
23/9/2021,45
24/9/2021,45
25/9/2021,51
26/9/2021,24
27/9/2021,44
28/9/2021,40
29/9/2021,55
30/9/2021,58
1/4/2021,169
2/4/2021,183
3/4/2021,179
4/4/2021,167
5/4/2021,162
6/4/2021,62
7/4/2021,64
8/4/2021,68
9/4/2021,89
10/4/2021,83
11/4/2021,65
12/4/2021,73
13/4/2021,76
14/4/2021,81
15/4/2021,88
16/4/2021,101
17/4/2021,79
18/4/2021,52
19/4/2021,66
20/4/2021,82
21/4/2021,101
22/4/2021,126
23/4/2021,141
24/4/2021,148
25/4/2021,109
26/4/2021,90
27/4/2021,74
28/4/2021,63
29/4/2021,57
30/4/2021,54
1/5/2021,58
2/5/2021,64
3/5/2021,65
4/5/2021,77
5/5/2021,77
6/5/2021,75
7/5/2021,65
8/5/2021,74
9/5/2021,66
10/5/2021,73
11/5/2021,61
12/5/2021,66
13/5/2021,62
14/5/2021,69
15/5/2021,84
16/5/2021,84
17/5/2021,97
18/5/2021,88
19/5/2021,81
20/5/2021,78
21/5/2021,76
22/5/2021,75
23/5/2021,54
24/5/2021,45
25/5/2021,57
26/5/2021,67
27/5/2021,74
28/5/2021,73
29/5/2021,62
30/5/2021,51
31/5/2021,51
1/6/2021,57
2/6/2021,76
3/6/2021,85
4/6/2021,85
5/6/2021,57
6/6/2021,64
7/6/2021,63
8/6/2021,62
9/6/2021,45
10/6/2021,43
11/6/2021,49
12/6/2021,50
13/6/2021,59
14/6/2021,54
15/6/2021,48
16/6/2021,45
17/6/2021,47
18/6/2021,51
19/6/2021,53
20/6/2021,63
21/6/2021,74
22/6/2021,62
23/6/2021,61
24/6/2021,53
25/6/2021,60
26/6/2021,54
27/6/2021,56
28/6/2021,49
29/6/2021,57
30/6/2021,56
4/1/2021,121
5/1/2021,130
6/1/2021,106
7/1/2021,93
8/1/2021,106
9/1/2021,101
10/1/2021,105
11/1/2021,128
12/1/2021,162
13/1/2021,88
14/1/2021,115
15/1/2021,145
16/1/2021,134
17/1/2021,128
18/1/2021,141
19/1/2021,125
20/1/2021,145
21/1/2021,147
22/1/2021,147
23/1/2021,149
24/1/2021,146
25/1/2021,138
26/1/2021,133
27/1/2021,144
28/1/2021,132
29/1/2021,150
30/1/2021,132
31/1/2021,111
1/2/2021,122
2/2/2021,96
3/2/2021,85
4/2/2021,114
5/2/2021,148
6/2/2021,185
7/2/2021,157
8/2/2021,133
9/2/2021,63
10/2/2021,66
11/2/2021,74
12/2/2021,95
13/2/2021,116
14/2/2021,123
15/2/2021,138
16/2/2021,137
17/2/2021,132
18/2/2021,152
19/2/2021,130
20/2/2021,114
21/2/2021,120
22/2/2021,108
23/2/2021,133
24/2/2021,154
25/2/2021,135
26/2/2021,138
27/2/2021,160
28/2/2021,163
1/3/2021,158
2/3/2021,158
3/3/2021,174
4/3/2021,157
5/3/2021,142
6/3/2021,170
7/3/2021,192
8/3/2021,183
9/3/2021,180
10/3/2021,183
11/3/2021,192
12/3/2021,176
